"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FLOT1",4.59318816474068e-08,0.320827085688204,0.691,0.496,0.00154046344669073,"stromal_3_patient3","FLOT1"
"HNRNPA1P48",4.59531459511595e-08,0.283223389870343,0.337,0.184,0.00154117660890999,"stromal_3_patient3","HNRNPA1P48"
"SUPT5H",4.66835757590585e-08,0.265426080301333,0.618,0.414,0.0015656737638073,"stromal_3_patient3","SUPT5H"
"DCAF11",4.95845467825506e-08,0.323837844891815,0.41,0.243,0.00166296652999318,"stromal_3_patient3","DCAF11"
"ARGLU12",5.14271605785314e-08,0.265270106347283,0.747,0.525,0.00172476411148279,"stromal_3_patient3","ARGLU1"
"N4BP2L1",5.52122468348568e-08,0.279062723160974,0.315,0.167,0.00185170833434743,"stromal_3_patient3","N4BP2L1"
"UBXN11",5.54001967127162e-08,0.33631342765214,0.652,0.468,0.00185801179735108,"stromal_3_patient3","UBXN1"
"TMEM245",5.56884561327341e-08,0.311067901023432,0.41,0.243,0.00186767944177964,"stromal_3_patient3","TMEM245"
"ZMAT5",5.70924431059804e-08,0.341271961238061,0.303,0.162,0.00191476635688837,"stromal_3_patient3","ZMAT5"
"ORMDL3",5.83851523105755e-08,0.28144821496573,0.404,0.238,0.00195812123819208,"stromal_3_patient3","ORMDL3"
"COASY",6.13560898613681e-08,0.298486783965449,0.421,0.251,0.00205776054177056,"stromal_3_patient3","COASY"
"SYF21",6.21741982856928e-08,0.332380842068012,0.539,0.361,0.00208519826210557,"stromal_3_patient3","SYF2"
"ASPH",6.64618265021306e-08,0.260633169528871,0.573,0.378,0.00222899673722846,"stromal_3_patient3","ASPH"
"RBM51",6.77210972235722e-08,0.317277659497343,0.685,0.477,0.00227123015868416,"stromal_3_patient3","RBM5"
"ST6GALNAC4",7.04368363312306e-08,0.261833954134067,0.331,0.181,0.00236231061687681,"stromal_3_patient3","ST6GALNAC4"
"ARHGDIA1",7.16507829322769e-08,0.296888984712826,0.876,0.66,0.0024030239579827,"stromal_3_patient3","ARHGDIA"
"AHR",7.2133067339309e-08,0.277272871200893,0.567,0.377,0.00241919881242575,"stromal_3_patient3","AHR"
"EIF3F1",7.49612495696346e-08,0.27871574036204,0.826,0.641,0.0025140503880664,"stromal_3_patient3","EIF3F"
"PTBP1",7.75832769756763e-08,0.305486159258036,0.736,0.524,0.00260198794321023,"stromal_3_patient3","PTBP1"
"NHP21",7.77150821307452e-08,0.254690492089735,0.708,0.48,0.00260640842450093,"stromal_3_patient3","NHP2"
"YPEL3",7.79962623919581e-08,0.295524015819511,0.697,0.49,0.00261583864810149,"stromal_3_patient3","YPEL3"
"NCLN",7.84849415982967e-08,0.250995335997417,0.444,0.272,0.00263222797132367,"stromal_3_patient3","NCLN"
"PDLIM4",7.99543336945678e-08,0.330519648462738,0.421,0.257,0.00268150844344842,"stromal_3_patient3","PDLIM4"
"ZFAS1",8.11387125030307e-08,0.285855816206904,0.831,0.664,0.00272123013992664,"stromal_3_patient3","ZFAS1"
"FLOT2",8.22077610638403e-08,0.312225859760459,0.534,0.353,0.00275708389055908,"stromal_3_patient3","FLOT2"
"PQBP11",8.50906350081505e-08,0.251624153610434,0.483,0.291,0.00285376971690335,"stromal_3_patient3","PQBP1"
"EIF5AL1",8.52283793390329e-08,0.280696231242482,0.427,0.259,0.00285838938627249,"stromal_3_patient3","EIF5AL1"
