"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CP",1.21489962729883e-149,0.715710982703182,0.476,0.188,4.07453037003481e-145,"group1","CP"
"WISP2",6.47132308502387e-144,0.889269597249881,0.375,0.115,2.1703523362553e-139,"group1","WISP2"
"IGHG2",6.71058861782186e-143,1.16574380009496,0.509,0.249,2.2505972106451e-138,"group1","IGHG2"
"MDK",6.12184647666482e-142,0.657735545723318,0.945,0.77,2.05314487134385e-137,"group1","MDK"
"ADAM12",1.18707280027986e-141,0.63625764881979,0.307,0.079,3.98120475757861e-137,"group1","ADAM12"
"LRRC15",2.06067360256455e-140,0.60225250957559,0.282,0.063,6.91108712828098e-136,"group1","LRRC15"
"ADAMTS2",1.7596406453665e-139,0.576212477512727,0.317,0.084,5.90148279643016e-135,"group1","ADAMTS2"
"TNC",1.0870731358299e-137,0.726156240916642,0.33,0.095,3.64582588294631e-133,"group1","TNC"
"ECM1",5.51940322560424e-136,0.730505425235182,0.461,0.203,1.85109745380315e-131,"group1","ECM1"
"MMP23B",2.15231154316515e-134,0.642776846135616,0.479,0.201,7.21842245346728e-130,"group1","MMP23B"
"C1S",5.16885151012008e-134,0.617826573507767,0.894,0.736,1.73352941946407e-129,"group1","C1S"
"CDH11",5.52925943998547e-134,0.692168873632571,0.636,0.327,1.85440303098233e-129,"group1","CDH11"
"LYPD6B",5.81569624572611e-133,0.547699317164662,0.271,0.057,1.95046820689162e-128,"group1","LYPD6B"
"PDGFRL",2.80603523419035e-129,0.555147631643262,0.386,0.134,9.4108809684276e-125,"group1","PDGFRL"
"RBM38",1.56924622039903e-126,0.600502638678037,0.504,0.238,5.26293797397428e-122,"group1","RBM38"
"RHEX",4.24526776463074e-126,0.517667665372947,0.312,0.085,1.42377790290186e-121,"group1","RHEX"
"GAS6",3.15266544964615e-122,0.679328461135686,0.899,0.675,1.05734093850233e-117,"group1","GAS6"
"GJA1",1.0407132123028e-120,0.732923087524209,0.512,0.27,3.49034397142115e-116,"group1","GJA1"
"SULF2",1.1941222611822e-120,0.630077489845867,0.636,0.378,4.00484723955286e-116,"group1","SULF2"
"CRABP2",4.64516112570354e-120,0.769392642356833,0.515,0.273,1.55789413833845e-115,"group1","CRABP2"
"ANGPTL2",9.4767516397874e-119,0.618097639974184,0.436,0.191,3.1783129649519e-114,"group1","ANGPTL2"
"MYRF",2.55389474331146e-118,0.500445776055805,0.333,0.103,8.56525219011797e-114,"group1","MYRF"
"CFH",4.77998302920992e-118,0.600214043809502,0.663,0.359,1.60311070833642e-113,"group1","CFH"
"MEGF6",9.83468749801662e-116,0.509562119481128,0.326,0.103,3.29835749308481e-111,"group1","MEGF6"
"AEBP1",1.24414825133186e-115,0.603052042425121,0.958,0.847,4.1726244053168e-111,"group1","AEBP1"
"LAMB2",5.07548629500288e-108,0.673289764671941,0.778,0.54,1.70221659361807e-103,"group1","LAMB2"
"MAGED1",8.58261464015605e-108,0.520579898860093,0.673,0.413,2.87843729801554e-103,"group1","MAGED1"
"LAMA5",1.0751893398972e-106,0.577431927562268,0.579,0.318,3.60597000814723e-102,"group1","LAMA5"
"SFRP2",2.72882439849997e-106,1.49707388012369,0.48,0.303,9.15193126768919e-102,"group1","SFRP2"
"EIF3D",3.95727070616635e-106,0.644554593450541,0.684,0.481,1.32718944943407e-101,"group1","EIF3D"
"NBL1",1.67792165152396e-105,0.751604557013533,0.86,0.697,5.62741363488107e-101,"group1","NBL1"
"P3H3",1.3925908119869e-103,0.515519697552983,0.483,0.235,4.67047106524166e-99,"group1","P3H3"
"MARCKSL1",3.39413298313939e-102,0.646714911803128,0.585,0.34,1.13832431988529e-97,"group1","MARCKSL1"
"COL5A1",2.35613504271159e-101,1.01162605785178,0.664,0.522,7.90200570624614e-97,"group1","COL5A1"
"FDXR",1.2602040988589e-99,0.553363556322819,0.302,0.106,4.22647250675298e-95,"group1","FDXR"
"MXRA8",7.21715374923164e-99,0.607614822464775,0.806,0.572,2.42048902441731e-94,"group1","MXRA8"
"SOX4",2.98536772808584e-98,0.583122991536736,0.598,0.366,1.00123262864543e-93,"group1","SOX4"
