"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LILRB3",0,0.653698989789918,0.329,0.033,0,"1","LILRB3"
"JAML",0,0.650790095727384,0.37,0.053,0,"1","JAML"
"GNB4",0,0.642648538504464,0.415,0.121,0,"1","GNB4"
"GLA",0,0.642620182284703,0.394,0.119,0,"1","GLA"
"MPP1",0,0.636399440587266,0.41,0.106,0,"1","MPP1"
"GMFG",0,0.633599029984849,0.438,0.124,0,"1","GMFG"
"FCGR1A",0,0.631974558900257,0.353,0.064,0,"1","FCGR1A"
"LPL",0,0.630133935006612,0.32,0.046,0,"1","LPL"
"KLHL6",0,0.629653080249314,0.355,0.062,0,"1","KLHL6"
"TBXAS1",0,0.626863788045542,0.381,0.071,0,"1","TBXAS1"
"OTOA",0,0.617981892334325,0.338,0.03,0,"1","OTOA"
"LCP2",0,0.611089228968142,0.393,0.089,0,"1","LCP2"
"SLAMF7",0,0.605972106791286,0.417,0.107,0,"1","SLAMF7"
"SLC37A2",0,0.60339095937603,0.335,0.032,0,"1","SLC37A2"
"IL2RG",0,0.593427030629835,0.381,0.077,0,"1","IL2RG"
"PARVG",0,0.58250863687563,0.371,0.072,0,"1","PARVG"
"RNASE6",0,0.58120597005528,0.369,0.073,0,"1","RNASE6"
"TRPV2",0,0.577886189953936,0.386,0.099,0,"1","TRPV2"
"CCL4L2",0,0.566320573943467,0.306,0.051,0,"1","CCL4L2"
"LPXN",0,0.563005579720601,0.36,0.083,0,"1","LPXN"
"SMPDL3A",0,0.562592867443517,0.368,0.082,0,"1","SMPDL3A"
"HK3",0,0.560736035956009,0.296,0.03,0,"1","HK3"
"CXCL8",0,0.56048643535685,0.251,0.04,0,"1","CXCL8"
